Modelo,Categoria,F1-Score,Precision,Recall,ROC-AUC,PR-AUC,Tempo (s)
Random Forest,Tradicional,0.8223350253807107,0.8181818181818182,0.826530612244898,0.9765709340151367,0.8176878484465377,10.540891408920288
XGBoost,Tradicional,0.65625,0.5316455696202531,0.8571428571428571,0.9755156951638281,0.8445699095046618,0.8701379299163818
Isolation Forest,Não Supervisionado,0.32195121951219513,0.308411214953271,0.336734693877551,0.9543364475784686,0.21797227754191925,1.0764362812042236
MLP Wide,Deep Learning,0.3049645390070922,0.18454935622317598,0.8775510204081632,0.9755395616321936,0.7197854697056851,45.22482442855835
Gradient Boosting,Tradicional,0.2727272727272727,0.5294117647058824,0.1836734693877551,0.3468859283302516,0.15665434666029338,133.10871767997742
MLP Deep,Deep Learning,0.20374707259953162,0.11507936507936507,0.8877551020408163,0.9763144143419888,0.7096015108603737,36.847480058670044
Logistic Regression,Tradicional,0.11435832274459974,0.06097560975609756,0.9183673469387755,0.9721687370080279,0.7159122424484009,1.310035228729248
Autoencoder,Deep Learning,0.05555555555555555,0.028685790527018012,0.8775510204081632,0.9588775366646377,0.21310895402521196,47.03058362007141
