Modelo,F1-Score,Precision,Recall,ROC-AUC,PR-AUC,Tempo (s)
Random Forest,0.8159203980099502,0.7961165048543689,0.8367346938775511,0.9785898039575989,0.8421566570706076,9.831883430480957
XGBoost,0.6970954356846473,0.5874125874125874,0.8571428571428571,0.9763573022061948,0.8502865593992995,0.9118838310241699
Isolation Forest,0.32195121951219513,0.308411214953271,0.336734693877551,0.9543364475784686,0.20887571589051138,0.9829380512237549
Gradient Boosting,0.175715695952616,0.09726775956284153,0.9081632653061225,0.9741175328460028,0.7480625061611951,17.745951890945435
Logistic Regression,0.10050251256281408,0.05316007088009451,0.9183673469387755,0.9723337386445856,0.7388954274066412,13.999416589736938
