Modelo,F1,Precision,Recall,ROC-AUC,PR-AUC
Isolation Forest,0.32195121951219513,0.308411214953271,0.336734693877551,0.9543364475784686,0.21797227754191925
Random Forest,0.8390804597701149,0.9605263157894737,0.7448979591836735,0.952908497036969,0.8541999432510914
Logistic Regression,0.11435832274459974,0.06097560975609756,0.9183673469387755,0.9721687370080279,0.7159122424484009
