Modelo,Dataset,F1-Score,Precision,Recall,ROC-AUC,PR-AUC,Tempo (s)
Random Forest,Original,0.8159203980099502,0.7961165048543689,0.8367346938775511,0.9785898039575989,0.8421566570706076,9.646057367324829
Random Forest,SMOTE,0.710204081632653,0.5918367346938775,0.8877551020408163,0.9819419660801856,0.8348693759280639,16.418648958206177
XGBoost,Original,0.6970954356846473,0.5874125874125874,0.8571428571428571,0.9763573022061948,0.8502865593992995,0.7398099899291992
XGBoost,SMOTE,0.6397058823529411,0.5,0.8877551020408163,0.9779138266167469,0.8625911653137892,1.4774842262268066
Logistic Regression,Original,0.10050251256281408,0.05316007088009451,0.9183673469387755,0.9723337386445856,0.7388954274066412,14.091955661773682
Logistic Regression,SMOTE,0.3096085409252669,0.1875,0.8877551020408163,0.97514235540868,0.7827097885679046,17.500049352645874
Gradient Boosting,Original,0.175715695952616,0.09726775956284153,0.9081632653061225,0.9741175328460028,0.7480625061611951,17.60083246231079
Gradient Boosting,SMOTE,0.34442270058708413,0.21307506053268765,0.8979591836734694,0.9794844376270485,0.7373484971603452,27.06251335144043
